Title,Genre
"Kingdom of the Wicked (Kingdom of the Wicked, #1)","Fantasy,Paranormal,Historical Fiction,Young Adult"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","Fantasy,Young Adult,Childrens,Fiction"
"If Not, Winter: Fragments of Sappho",Poetry
Go-To Dinners: A Barefoot Contessa Cookbook,Cookbooks
Tom Lake,"Contemporary,Romance,Historical Fiction"
The Celebrants,Contemporary
The Woman in Cabin 10,"Suspense,Thriller,Mystery"
IRL,Science Fiction
Fate of a Royal (Lords of Rathe #1),"Fantasy,Mystery,Contemporary,Romance,Fiction"
"Shadow Kiss (Vampire Academy, #3)",Paranormal
A People's History of the United States,History
Every Rising Sun,"Fantasy,Fiction,Historical Fiction"
One Italian Summer,"Contemporary,Travel"
Pieces of Forever (River Falls #1),Christian
Night Fever,"Crime,Graphic Novels,Comics"
Turtles All the Way Down,Contemporary
Study for Obedience,Contemporary
"Love, Pamela","Poetry,Memoir"
Wrong Place Wrong Time,Thriller
"Flaggermusmannen (Harry Hole, #1)",Crime
"Float Plan (Beck Sisters, #1)",Travel
"Where it all Began (Blue Moon, #7)",Humor
"Dark Water Daughter (The Winter Sea, #1)","Fantasy,Romance,Fiction"
Fabbricante di lacrime,Young Adult
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence","Psychology,Philosophy,Science"
The Satsuma Complex,"Crime,Mystery,Humor"
"The Longest Race: Inside the Secret World of Abuse, Doping, and Deception on Nike&#39;s Elite Running Team","Memoir,Sports,Nonfiction"
The Art of Travel,Travel
No One Is Too Small to Make a Difference,Nonfiction
"Idol, Burning",Music
"Home Game (Vegas Aces, #1)",Sports
"Twilight (The Twilight Saga, #1)","Fantasy,Paranormal,Romance,Young Adult"
It,Horror
Orange Is the New Black,Memoir
Alone,Poetry
The House of the Spirits,Classics
Charlie Thorne and the Curse of Cleopatra (Charlie Thorne #3),Childrens
"Blissful Hook (Swift Hat-Trick Trilogy, #2)",Sports
We Should Not Be Friends: The Story of a Friendship,Biography
Se Nietzsche fosse un narvalo. Come l’intelligenza animale svela la stupidità umana,Philosophy
"Preacher, Volume 1: Gone to Texas",Comics
The Island Villa,Travel
"The Hound of the Baskervilles (Sherlock Holmes, #5)","Crime,Mystery"
